S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,ROCE %,PEG,OPM %,Debt / Eq,ROE %,CMP / BV,CMP / FCF,EV / EBITDA,Free Cash Flow Rs.Cr.,Piotski Scr,EPS dil growth,Tickers
68,A B B,5460.3,68.57,115708.34,0.44,30.69,3.43,17.83,0.01,22.92,18.25,152.46,45.96,1168.4,9,19.98,ABB.NS
171,Aditya Birla Cap,159.25,11.33,41511.62,0,9.95,0.35,35.76,4.24,14.15,1.44,-2.31,11.04,-24498.67,3,-13.61,ABCAPITAL.NS
192,Aditya Bir. Fas.,260,-45.14,29634.24,0,0.25,1.7,10.61,2.44,-18.93,6.79,74.23,21.91,600.27,2,0,ABFRL.NS
182,ACC,1916.4,14.98,35987.49,0.39,17.27,2.07,14.54,0.03,14.15,2.16,961.78,8.67,1646.16,8,7.24,ACC.NS
96,Adani Energy Sol,744.85,52.06,89477.44,0,9,3.89,29.83,1.86,8.59,4.22,-652.51,16.88,608.08,8,27.89,ADANIENSOL.NS
25,Adani Enterp.,2252.5,68.22,259979.2,0.06,9.87,1.6,13.72,1.92,9.73,6.22,-40.57,20.96,-11934.07,6,88.17,ADANIENT.NS
54,Adani Green,919.35,100,145627.99,0,9.65,2.77,75.13,6.38,14.74,13.74,-27.67,22.44,-678.36,3,13.65,ADANIGREEN.NS
31,Adani Ports,1114.65,22.89,240779.89,0.53,12.93,1.35,60.19,0.88,18.06,4.22,41.6,14.88,7627.99,8,26.48,ADANIPORTS.NS
37,Adani Power,499.05,14.89,192480.49,0,32.25,0.17,38.57,0.67,57.06,3.49,24.51,9.23,11568.26,8,88.46,ADANIPOWER.NS
141,Alkem Lab,4707.65,26,56286.97,0.84,19.68,1.31,19.78,0.13,19.56,4.89,42.26,18.86,1761.26,9,19.88,ALKEM.NS
62,Ambuja Cements,503.2,29.31,123944.39,0.39,12.84,3.46,17.04,0.02,9.24,2.5,272.11,14.52,1684.68,7,6.28,AMBUJACEM.NS
175,APL Apollo Tubes,1376.4,60.23,38198.47,0.41,25.18,1.61,5.34,0.27,22.05,9.87,315.25,34.07,618.23,4,49.45,APLAPOLLO.NS
92,Apollo Hospitals,6368.05,69.87,91562.76,0.25,15.11,2.04,13.68,0.98,13.33,12.18,131.95,31.29,785.3,6,20.87,APOLLOHOSP.NS
195,Apollo Tyres,421.75,19.9,26785.42,1.42,16.45,1.24,14.49,0.34,13.22,1.89,17.95,7.88,2765.62,9,18.44,APOLLOTYRE.NS
